molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
74,terbinafine,121.1005,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21  ,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,141.0698,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,143.0754,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,150.1268,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,170.0954,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,179.0842,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,205.1003,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,261.1629,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,292.2059,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,293.209,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
,,134.0591,,291.438,4.8773,1,0,3.24,4,2,1,0.7258618267,,,,0,0.333,-4.058,,,,,,,,,-0.035,0,0,0,0,0.4,0.2,0,0,0.2,0,0,0.2,0.4,2.23
