molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
79,enrofloxacin,261.1022,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F  ,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,314.1657,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,316.1816,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,317.1846,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,318.1606,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,319.1637,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,342.1606,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,343.1637,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,360.1715,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,361.1743,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
,,124.1126,,359.401,2.3156,5,1,65.78,4,2,0,0.9075489986,,,,0,0.474,-4.826,,,,,,,,,-1.058,0,1,0,0.2,0,0.6,0,0,0.4,0,0,0,0,2.492
