molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
170,cycloheximide,121.1013,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C  ,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,123.0803,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,125.0956,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,138.0548,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,140.0704,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,141.0549,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,143.0853,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,157.1011,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,159.1165,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,161.0959,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,163.1116,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,165.0909,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,168.0657,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,169.1012,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,170.0971,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,173.1326,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,177.1275,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,180.1021,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,183.1171,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,185.0966,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,187.1119,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,189.091,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,191.1432,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,194.1175,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,201.1278,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,202.1306,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,203.1433,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,205.1226,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,206.1261,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,211.1121,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,218.1539,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,219.1382,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
,,220.1384,,281.352,1.0415,4,2,83.47,3,0,1,0.7571556,,,,0,0.8,-4.805,,,,,,,,,1.681,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0
