molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg
183,resperpine,188.1035,[H][C@]26C[C@@H](OC(=O)c1cc(OC)c(OC)c(OC)c1)[C@H](OC)[C@@H](C(=O)OC)[C@@]2([H])C[C@]5([H])c4[nH]c3cc(OC)ccc3c4CCN5C6,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,192.0982,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,195.0654,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,195.1022,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,215.1082,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,224.1244,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,236.1248,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,322.1478,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,336.1547,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,348.1591,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
,,354.1669,,608.688,4.1711,10,1,117.78,8,3,1,0.373566692,,,,0,0.515,-5.309,,,,,,,,,0.933,0,0.2,0,1,0.6,0,0,0,0.4,0.2,0.2,0.6,0.4,0.714
