molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
72,irbesartan,196.1521,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5  ,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,207.0911,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,208.0944,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,209.0971,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,386.2224,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,401.2339,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,429.2402,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,430.2434,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,431.2442,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,-0.563,0,0,0,0,0.6,0.6,0.2,1,0.8,0,0,0.8,0,2.805
,,214.0344,,428.54,4.7774,4,1,87.13,7,3,0,0.5867441989,,,,0,0.4,-5.049,,,,,,,,,,,,,,,,,,,,,,,
