molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
53,oxfendazole,159.0419,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3  ,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,-0.529,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,191.0323,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,191.0685,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,192.0728,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,207.0653,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,223.0592,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,239.0362,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,284.0488,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,285.0526,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,299.0726,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,300.0768,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,316.075,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,317.0795,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,318.0726,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
,,44.9,,315.354,2.9079,4,2,84.08,3,3,0,0.778102656,,,,0,0.067,-4.487,,,,,,,,,,0,0.2,0,0.8,0,0.2,0,0,0.8,0,0,0,0
