molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
61,fomepizole,43.3,CC1=CNN=C1  ,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,54.3,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,56.3,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,65.9,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,68,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,81.7,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,83.2,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,142.8,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,204.2,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,210.9,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,301.0718,,82.106,0.71812,1,1,28.68,0,1,0,0.4904468907,,,,0,-4.267,-4.267,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.959,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
