molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg
185,carbechol,45,[Cl-].O=C(OCC[N+](C)(C)C)N,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,55.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,60.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,65.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,70.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,71.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,72,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,74.2,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,80.8,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,83.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,84.2,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,85.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,86.3,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,88.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,104.1,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,112,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,115.2,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,116,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,129.8,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,147.2,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,78.0343,,182.651,-3.2081,2,1,52.32,3,0,1,0.4676378228,,,,0,0.833,-5.768,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.349
