molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,ld50
77,ritonavir,171.0957,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,197.0748,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,268.1495,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,269.1524,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,296.1447,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,297.1475,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,426.1875,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,427.1901,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,428.1888,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,551.2372,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,721.3253,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,722.3276,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,723.326,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,73.9,,720.962,5.9052,7,4,145.78,17,4,0,0.1062404659,,,,0,0.432,-5.398,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.618,0,0,0,0,0,0.6,0,1,0.8,0.2,0,0.8,0.6,0.736,2.287
