molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
62,diosmin,302.0749,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,303.0867,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,431.1322,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,447.1279,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,449.1418,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,463.1225,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,463.2041,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,464.1256,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,465.1304,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,609.1815,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,610.1845,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,611.1859,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
,,116.106,,608.549,-1.0897,15,8,238.1999999999,7,3,0,0.1590157337,,,,0,0.464,-6.428,,,,,,,,,0,1,0.6,0.6,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0,0.4,0.8
