molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
215	emetine	177.088	CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC	480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		179.105		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		191.1		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		192.1		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		194.116		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		206.115		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		220.132		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		244.132		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		246.146		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		247.149		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		257.149		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		272.161		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		273.165		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		274.176		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		275.181		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		286.179		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		288.192		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		300.191		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		464.275		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		465.279		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		479.287		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		480.292		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		480.767		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		480.95		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		481.301		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		481.596		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		481.835		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		481.979		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		482.304		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		483.308		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
		84.081		480.649	4.9434	6	1	52.19	7	2	0	0.6056838132
