molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,ld50
71,valsartan,180.0804,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O  ,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,190.0634,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,191.0701,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,194.0954,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,206.0835,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,207.0904,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,208.0928,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,210.0897,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,235.0966,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,236.0991,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,237.1057,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,291.1492,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,292.1522,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,293.1584,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,306.1703,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,307.1723,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,352.1762,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,353.1795,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,354.1789,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,362.2224,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,363.2247,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,390.2285,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,408.2276,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,409.2325,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
,,418.2229,,435.528,4.1617,6,2,112.07,10,3,0,0.4944316269,,,,0,0.375,-5.869,,,,,,,,,-0.806,0,0,0,0,0.4,0.6,0,1,0.6,0,0,0.4,0,2.674
