molecule number	FDA approved name	mz	smiles	mw	alogp	hba	hbd	psa	rotb	arom	alerts	qed
2	sertraline	129.0687	CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl  	306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		130.0721		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		158.9751		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		159.9784		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		160.9723		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		161.9754		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		196.9909		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		275.0383		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		276.0417		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		277.0353		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		278.0381		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
		191.1214		306.236	5.1796	1	1	12.03	2	2	0	0.8058613928
