molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,hepatotox,ames,skin,dili
10,Cytarabine,81.2,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O  ,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,82.4,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,83.3,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,84.9,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,91.7,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,93.3,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,94,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,95.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,97.1,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,99.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,101,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,101.6,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,102.6,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,104.9,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,106.4,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,107.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,109.3,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,111.4,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,112.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,113.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,115.3,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
,,119.2,,243.219,-2.563,7,4,130.83,2,1,0,0.4489304892,,,,0,0.556,-5.91,,,,,,,,,1.545,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,1,0.207,0.954,0.066,0.32,0.99
