molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
204,curcumin,145.0269,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O  ,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,151.038,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,151.0744,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,161.0595,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,175.076,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,177.0555,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,177.0869,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,177.1057,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,178.0587,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,203.0718,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,213.0565,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,219.0671,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,245.0829,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,246.0862,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,253.0879,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,254.0918,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,259.0985,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,285.1143,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,286.1174,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,287.1198,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,299.1295,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,369.134,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,370.137,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
,,253.1219,,368.385,3.3699,6,2,93.06,8,2,2,0.5481228321,,,,,,,,,,
