molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,hepatotox,ames,skin,dili
12,venlafaxine,122.0674,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O  ,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,132.0559,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,135.0793,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,147.0794,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,148.0827,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,152.1421,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,159.0793,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,160.0831,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,173.0951,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,174.0992,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,177.114,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,178.1207,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,183.1159,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,189.1258,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,215.1427,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,216.1457,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,217.151,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,260.2006,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,261.2038,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,262.207,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,278.2126,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,279.2154,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,280.2179,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
,,62.8,,277.408,3.0356,3,1,32.7,5,1,0,0.8976823731,,,,0,0.647,-4.518,,,,,,,,,0.134,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.831,0.924,0.154,0.477,0.11
