molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,ld50
75,sulfamethoxazole,135.064,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,136.0747,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,137.077,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,146.07,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,147.0778,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,148.0857,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,150.0535,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,152.0695,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,156.0104,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,160.0856,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,160.9983,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,162.0652,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,174.0195,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,188.0807,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,190.0959,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,191.1001,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,194.037,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,195.0401,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,198.0209,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,199.0241,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,200.0165,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,202.0976,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,214.0956,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,218.0365,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,230.0932,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,232.1067,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,236.0472,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,237.0515,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,254.0593,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,278.0611,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,296.0696,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,297.0714,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,298.066,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,165.0651,,253.283,1.36602,5,2,98.22,3,2,1,0.8047367066,,,,0,0.1,-5.142,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.981,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0.072,1.909
